"","species_code","scientific_name","common_name"
"515",22201,"Liparis sp.","Liparis sp."
"516",22202,"Liparis fucensis","slipskin snailfish"
"517",22203,"Liparis bristolense","Bristol snailfish"
"518",22204,"Liparis dennyi","marbled snailfish"
"519",22205,"Liparis gibbus","variegated snailfish"
"520",22206,"Crystallichthys cyclospilus","blotched snailfish"
"521",22207,"Liparis megacephalus","bighead snailfish"
"522",22208,"Liparis pulchellus","showy snailfish"
"523",22209,"Liparis callyodon","spotted snailfish"
"524",22210,"Liparis ochotensis","Okhotsk snailfish"
"525",22211,"Liparis cyclopus","ribbon snailfish"
"526",22213,"Liparis rutteri","ringtail snailfish"
"527",22214,"Elassodiscus sp.","Elassodiscus sp."
"528",22215,"Elassodiscus caudatus","humpback snailfish"
"529",22216,"Elassodiscus tremebundus","blacklip snailfish"
"530",22217,"Allocareproctus jordani","cherry snailfish"
"531",22219,"Careproctus sp.","Careproctus sp."
"532",22220,"Careproctus melanurus","blacktail snailfish"
"533",22221,"Careproctus curilanus","Kuril snailfish"
"534",22222,"Careproctus bowersianus","Bowers Bank snailfish"
"535",22223,"Careproctus simus","proboscis snailfish"
"536",22224,"Careproctus ectenes","shovelhead snailfish"
"537",22225,"Careproctus canus","gray snailfish"
"538",22226,"Careproctus phasma","monster snailfish"
"539",22228,"Careproctus cypselurus","blackfin snailfish"
"540",22229,"Careproctus furcellus","emarginate snailfish"
"541",22230,"Careproctus abbreviatus","short snailfish"
"542",22231,"Paraliparis ulochir","broadfin snailfish"
"543",22232,"Careproctus scottae","peachskin snailfish"
"544",22233,"Careproctus gilberti","smalldisk snailfish"
"545",22235,"Careproctus colletti","Alaska snailfish"
"546",22236,"Careproctus rastrinus","salmon snailfish"
"547",22237,"Careproctus ovigerus","abyssal snailfish"
"548",22238,"Liparis tunicatus","kelp snailfish"
"549",22239,"Careproctus zachirus","paintbrush snailfish"
"550",22240,"Careproctus candidus","bigeye snailfish"
"551",22241,"Paraliparis dactylosus","red snailfish"
"552",22242,"Paraliparis rosaceus","rosy snailfish"
"553",22243,"Paraliparis deani","prickly snailfish"
"554",22244,"Paraliparis cephalus","swellhead snailfish"
"555",22245,"Careproctus lycopersicus","tomato snailfish"
"556",22246,"Careproctus comus","comic snailfish"
"557",22247,"Careproctus oregonensis","Oregon snailfish"
"558",22248,"Careproctus microstomus","smallmouth snailfish"
"559",22249,"Paraliparis pectoralis","pectoral snailfish"
"560",22250,"Paraliparis sp.","Paraliparis sp."
"561",22251,"Careproctus ostentum","microdisk snailfish"
"562",22252,"Paraliparis paucidens","toothless snailfish"
"563",22253,"Lipariscus nanus","pygmy snailfish"
"564",22254,"Paraliparis dipterus","Splitfin snailfish"
"565",22255,"Nectoliparis pelagicus","tadpole snailfish"
"566",22260,"Rhinoliparis sp.","Rhinoliparis sp."
"567",22261,"Rhinoliparis barbulifer","longnose snailfish"
"568",22262,"Rhinoliparis attenuatus","slim snailfish"
"569",22263,"Prognatholiparis ptychomandibularis","wrinkle-jaw snailfish"
"570",22264,"Lopholiparis flerxi","hardhead snailfish"
"571",22271,"Acantholiparis opercularis","spiny snailfish"
"572",22300,"Melamphaidae (family)","bigscale unid."
"573",22310,"Poromitra curilensis (=crassiceps)","crested bigscale"
"574",22320,"Melamphaes lugubris","highsnout bigscale"
"575",22390,"Allocyttus folletti","oxeye oreo"
"576",22400,"Stomiidae (family)","scaleless dragonfish unid."
"577",22410,"Tactostoma macropus","longfin dragonfish"
"578",22420,"Bathophilus flemingi","highfin dragonfish"
"579",22450,"Borostomias panamensis","Borostomias panamensis"
"580",22461,"Caristius macropus","manefish"
"581",22500,"Merluccius productus","Pacific hake"
"582",22570,"Anotopterus nikparini","North Pacific daggertooth"
"583",22582,"Mola mola","ocean sunfish"
"584",22595,"Scopelengys tristis","blackchin"
"585",22600,"Myctophidae (family)","lanternfish unid."
"586",22601,"Stenobrachius sp.","Stenobrachius sp."
"587",22602,"Stenobrachius leucopsarus","northern lampfish"
"588",22603,"Stenobrachius nannochir","garnet lampfish"
"589",22609,"Diaphus sp.","Diaphus sp."
"590",22610,"Diaphus theta","California headlightfish"
"591",22620,"Lampanyctus sp.","Lampanyctus sp."
"592",22623,"Nannobrachium ritteri","broadfin lanternfish"
"593",22624,"Nannobrachium regale","pinpoint lampfish"
"594",22625,"Lampanyctus jordani","brokenline lampfish"
"595",22630,"Ceratoscopelus townsendi","Ceratoscopelus townsendi"
"596",22640,"Hygophum reinhardtii","slender lanternfish"
"597",22642,"Notoscopelus resplendens","patchwork lampfish"
"598",22647,"Protomyctophum crockeri","California flashlightfish"
"599",22648,"Protomyctophum sp.","Protomyctophum sp."
"600",22649,"Protomyctophum thompsoni","northern flashlightfish"
"601",22650,"Tarletonbeania sp.","Tarletonbeania sp."
"602",22651,"Tarletonbeania crenularis","blue lanternfish"
"603",22656,"Symbolophorus californiensis","California lanternfish"
"604",22701,"Nemichthyidae (family)","snipe eel unid."
"605",22702,"Nemichthys scolopaceus","slender snipe eel"
"606",22703,"Avocettina sp.","Avocettina sp."
"607",22704,"Avocettina infans","blackline snipe eel"
"608",22705,"Nemichthys larseni","pale snipe eel"
"609",22716,"Leptocephalus sp.","Eel larva unid."
"610",22721,"Serrivomer sector","sawtooth eel"
"611",22750,"Linophrynidae","Linophrynidae"
"612",22800,"Notacanthidae (family)","spiny eel unid."
"613",22810,"Polyacanthonotus challengeri","Polyacanthonotus challengeri"
"614",22815,"Notacanthus chemnitzii","snubnosed spiny eel"
"615",22900,"Oneirodidae (family)","dreamer unid."
"616",22912,"Oneirodes sp.","Oneirodes sp."
"617",22913,"Oneirodes acanthias","spiny dreamer"
"618",22914,"Oneirodes bulbosus","hairy-lure dreamer"
"619",22915,"Oneirodes thompsoni","Oneirodes thompsoni"
"620",22917,"Chaenophryne longiceps","Chaenophryne longiceps"
"621",22918,"Chaenophryne melanorhabdus","Chaenophryne melanorhabdus"
"622",22919,"Chaenophryne draco","smooth dreamer"
"623",22920,"Gigantactis vanhoeffeni","whipnose"
"624",22921,"Gigantactis microdontis","Gigantactis microdontis"
"625",22924,"Caulophryne jordani","fanfin angler"
"626",22951,"Paralepididae (family)","barracudina unid."
"627",22952,"Magnisudis atlantica","duckbill barracudina"
"628",22955,"Lestidiops ringens","slender barracudina"
"629",22956,"Arctozenus risso","ribbon barracudina"
"630",23000,"Osmeridae (family)","smelt unid."
"631",23010,"Thaleichthys pacificus","eulachon"
"632",23020,"Hypomesus pretiosus","surf smelt"
"633",23030,"Allosmerus elongatus","whitebait smelt"
"634",23041,"Mallotus catervarius","Pacific capelin"
"635",23055,"Osmerus mordax","rainbow smelt"
"636",23060,"Spirinchus starksi","night smelt"
"637",23061,"Spirinchus thaleichthys","longfin smelt"
"638",23071,"Hypomesus olidus","pond smelt"
"639",23201,"Salmonidae (family)","salmon and trouts unid."
"640",23202,"Oncorhynchus (genus)","salmon unid."
"641",23220,"Oncorhynchus tshawytscha","Chinook salmon"
"642",23225,"Oncorhynchus kisutch","coho salmon"
"643",23230,"Oncorhynchus gorbuscha","pink salmon"
"644",23235,"Oncorhynchus keta","chum salmon"
"645",23240,"Oncorhynchus nerka","sockeye salmon"
"646",23250,"Salvelinus alpinus","Arctic char"
"647",23252,"Salvelinus malma","Dolly Varden"
"648",23260,"Oncorhynchus mykiss","steelhead"
"649",23310,"Coregonus laurettae","Bering cisco"
"650",23402,"Genyonemus lineatus","white croaker"
"651",23500,"Scombridae (family)","mackerel unid."
"652",23524,"Scomber japonicus","chub mackerel"
"653",23562,"Cololabis saira","Pacific saury"
"654",23590,"Neoscopelus macrolepidotus","glowingfish"
"655",23602,"Benthalbella sp.","Benthalbella sp."
"656",23603,"Benthalbella dentata","northern pearleye"
"657",23620,"Scopelosaurus harryi","scaly paperbone"
"658",23621,"Scopelosaurus sp.","Scopelosaurus sp."
"659",23657,"Alepisaurus ferox","longnose lancetfish"
"660",23700,"Platytroctidae (family)","tubeshoulder unid."
"661",23710,"Sagamichthys abei","shining tubeshoulder"
"662",23720,"Mirorictus taningi","striped tubeshoulder"
"663",23791,"Cryptacanthodes aleutensis","dwarf wrymouth"
"664",23792,"Cryptacanthodes giganteus","giant wrymouth"
"665",23800,"Stichaeidae (family)","prickleback unid."
"666",23801,"Lumpenus sp.","Lumpenus sp."
"667",23802,"Plectobranchus evides","bluebarred prickleback"
"668",23803,"Eumesogrammus praecisus","fourline snakeblenny"
"669",23804,"Stichaeus punctatus","Arctic shanny"
"670",23805,"Lumpenus maculatus","daubed shanny"
"671",23806,"Lumpenus medius","stout eelblenny"
"672",23807,"Lumpenus fabricii","slender eelblenny"
"673",23808,"Lumpenus sagitta","snake prickleback"
"674",23809,"Acantholumpenus mackayi","pighead prickleback"
"675",23836,"Lumpenella longirostris","longsnout prickleback"
"676",23840,"Chirolophis sp.","Chirolophis sp."
"677",23841,"Chirolophis decoratus","decorated warbonnet"
"678",23843,"Chirolophis snyderi","bearded warbonnet"
"679",23850,"Poroclinus rothrocki","whitebarred prickleback"
"680",23851,"Chirolophis nugator","mosshead warbonnet"
"681",23861,"Bryozoichthys lysimus","nutcracker prickleback"
"682",23862,"Bryozoichthys marjorius","pearly prickleback"
"683",23863,"Bryozoichthys sp.","Bryozoichthys sp."
"684",23865,"Anoplarchus purpurescens","high cockscomb"
"685",23866,"Anoplarchus insignis","slender cockscomb"
"686",23871,"Pholidae (family)","gunnel unid."
"687",23872,"Pholis sp.","Pholis sp."
"688",23873,"Pholis laeta","crescent gunnel"
"689",23900,"Stromateidae (family)","butterfish unid."
"690",23911,"Peprilus simillimus","Pacific pompano"
"691",23915,"Icichthys lockingtoni","medusafish"
"692",23932,"Trachipterus altivelis","king-of-the-salmon"
"693",23933,"Desmodema lorum","whiptail ribbonfish"
"694",23940,"Trichiuridae","Trichiuridae"
"695",23942,"Benthodesmus pacificus","North Pacific frostfish"
"696",23943,"Benthodesmus sp.","Benthodesmus sp."
"697",23944,"Aphanopus arigato","Pacific black scabbardfish"
"698",23945,"Lepidopus fitchi","scabbardfish"
"699",23950,"Anguilliformes (order)","eel unid."
"700",23952,"Anguilliformes (order)","leptocephalus unid."
"701",23958,"Opisthoproctidae (family)","spookfish unid."
"702",23960,"Dolichopteryx sp.","Dolichopteryx sp."
"703",23961,"Dolichopteryx longipes","brownsnout spookfish"
"704",23962,"Macropinna microstoma","barreleye"
"705",23963,"Bathylychnops sp.","Bathylychnops sp."
"706",23970,"Gigantura indica","Gigantura indica"
"707",24001,"Zaprora silenus","prowfish"
"708",24100,"Zoarcidae (family)","eelpout unid."
"709",24110,"Bothrocara brunneum","twoline eelpout"
"710",24111,"Bothrocara pusillum","Alaska eelpout"
"711",24113,"Bothrocara remigerum","Longfin eelpout"
"712",24114,"Bothrocara nyx","shadow eelpout"
"713",24120,"Bothrocara molle","soft eelpout"
"714",24130,"Lycenchelys crotalinus","snakehead eelpout"
"715",24140,"Lycodes cortezianus","bigfin eelpout"
"716",24150,"Lycenchelys sp.","Lycenchelys sp."
"717",24151,"Lycenchelys jordani","shortjaw eelpout"
"718",24152,"Lycenchelys camchatica","Kamchatka eelpout"
"719",24153,"Lycenchelys ratmanovi","Lycenchelys ratmanovi"
"720",24158,"Lycodapus endemoscotus","deepwater eelpout"
"721",24160,"Lycodapus fierasfer","blackmouth eelpout"
"722",24165,"Lycodapus dermatinus","looseskin eelpout"
"723",94500,"Echiura (phylum)","echiuroid worm unid."
"724",94900,"Phoronida (phylum)","phoronida tube worm unid."
"725",95000,"Bryozoa (phylum)","bryozoan unid."
"726",95005,"Myriapora sp. cf. subgracilis (Bayer et al.)","Myriapora sp. cf. subgracilis (Bayer et al.)"
"727",95010,"Bryozoa (phylum)","bryozoan sp. A unid."
"728",95011,"Porifera (phylum)","fluffy sponge"
"729",95015,"Phidolopora pacifica","lattice-work bryozoan"
"730",95020,"Eucratea loricata","feathery bryozoan"
"731",95030,"Flustra serrulata","leafy bryozoan"
"732",95035,"Flustrellidra corniculata","Flustrellidra corniculata"
"733",95040,"Myriapora subgracilis","Myriapora subgracilis"
"734",95050,"Porella compressa","flattened bryozoan"
"735",95060,"Escharopsis sarsi","Escharopsis sarsi"
"736",95070,"Rhamphostomella costata","ribbed bryozoan"
"737",95080,"Celleporina ventricosa","coral bryozoan"
"738",95100,"Microporina articulata","Microporina articulata"
"739",97000,"Brachiopoda (phylum)","lampshell unid."
"740",97100,"Terebratulina sp.","Terebratulina sp."
"741",97110,"Terebratalia transversa","common brachiopod"
"742",97111,"Frieleia halli","Hall?s lamp shell"
"743",97115,"Terebratulina unguicula","snakeshead brachiopod"
"744",97116,"Laqueus californianus","California lamp shell"
"745",97120,"Hemithiris psittacea","black brachiopod"
"746",98000,"Ascidiacea (class)","tunicate unid."
"747",98001,"Ascidian n. sp. A","cow-eye tunicate"
"748",98002,"Ascidian n. sp. B","transparent tunicate"
"749",98003,"Pyrosoma sp.","green colonial tunicate"
"750",98070,"Thaliacea (class)","salp unid."
"751",98071,"Pyrosoma atlanticum","Pyrosoma atlanticum"
"752",98072,"Thetys vagina","common salp"
"753",98080,"Styela sp.","Styela sp."
"754",98082,"Styela rustica","sea potato"
"755",98100,"Boltenia sp.","Boltenia sp."
"756",98101,"Boltenia villosa","Boltenia villosa"
"757",98105,"Boltenia ovifera","sea onion"
"758",98200,"Halocynthia (genus)","sea peach unid."
"759",98205,"Halocynthia aurantium","sea peach"
"760",98206,"Cnemidocarpa finmarkiensis","broad base tunicate"
"761",98220,"Botrylloides sp.","Botrylloides sp."
"762",98300,"Ascidiacea (class)","compound ascidian unid."
"763",98302,"Amaroucium sp.","Amaroucium sp."
"764",98309,"Chelyosoma orientale","Chelyosoma orientale"
"765",98310,"Aplidium sp. A (Clark 2006)","sea glob"
"766",98311,"Aplidium n. sp. A","orange aplidium"
"767",98320,"Synoicum sp.","sea blob"
"768",98322,"Ascidia paratropa","glassy tunicate"
"769",98324,"Halocynthia hispidus","hairy tunicate"
"770",98330,"Ascidiacea (class)","brown leafy compound tunicate"
"771",99900,"Molgula sp.","Molgula sp."
"772",99902,"Molgula griffithsii","sea grape"
"773",99904,"Molgula retortiformis","sea clod"
"774",99987,"Craniella sp.","puffball sponges"
"775",99990,"Animalia (kingdom)","invertebrate unid."
"776",99992,"Animalia (kingdom)","invertebrate eggs unid."
"777",99993,"Bivalvia (class)","empty bivalve shells"
"778",99994,"Gastropoda (class)","empty gastropod shells"
"779",99997,"peanutbutter","unsorted catch and debris"
"780",99998,"Polychaete tubes","Polychaete tubes"
"781",99999,"peanutbutter","unsorted shab"
"782",41500,"Gorgonacea (genus)","gorgonian coral unid."
"783",41510,"Ideogorgia sp.","Ideogorgia sp."
"784",41520,"Primnoa sp.","Primnoa sp."
"785",41522,"Primnoa willeyi","red tree coral"
"786",41523,"Primnoa resedaeformis","Primnoa resedaeformis"
"787",41525,"Antipatharia","black coral"
"788",41530,"Chrysopathes speciosa","Chrysopathes speciosa"
"789",41540,"Bathypathes sp.","Bathypathes sp."
"790",41550,"Parantipathes sp.","Parantipathes sp."
"791",41570,"Swiftia sp.","Swiftia sp."
"792",41571,"Swiftia pacifica","Swiftia pacifica"
"793",41572,"Psammogorgia simplex","Psammogorgia simplex"
"794",41580,"Paragorgia sp.","Paragorgia sp."
"795",41582,"Paragorgia arborea","Kamchatka coral"
"796",41583,"Paragorgia pacifica","Paragorgia pacifica"
"797",41585,"Euplexaura sp.","Euplexaura sp."
"798",41586,"Euplexaura marki","Euplexaura marki"
"799",41600,"Callogorgia sp.","Callogorgia sp."
"800",41700,"Calcigorgia sp.","Calcigorgia sp."
"801",41701,"Calcigorgia spiculifera","Calcigorgia spiculifera"
"802",41750,"Clavularia sp.","Clavularia sp."
"803",41751,"Clavularia sp. cf. evagorgiacrustans (Bayer et al.)","Clavularia sp. cf. evagorgiacrustans (Bayer et al.)"
"804",42000,"Pennatulacea (order)","sea pen or sea whip unid."
"805",42001,"Virgularia sp.","smoothstem seawhip"
"806",42003,"Virgulariidae (family)","sea whip unid."
"807",42004,"Stylatula sp.","slender seawhips"
"808",42005,"Stylatula gracile","roughstem seawhip"
"809",42008,"Halipteris sp.","Halipteris sp."
"810",42010,"Halipteris finmarchia","Halipteris finmarchia"
"811",42012,"Halipteris willemoesi","Halipteris willemoesi"
"812",42013,"Halipteris californica","Halipteris californica"
"813",42015,"Umbellula sp.","Umbellula sp."
"814",42017,"Ptilosarcus gurneyi","orange sea pen"
"815",42020,"Anthoptilum grandiflorum","Anthoptilum grandiflorum"
"816",43000,"Actiniaria (order)","sea anemone unid."
"817",43001,"Actinauge verrilli","reticulate anemone"
"818",43002,"Actinostola faeculenta

","rough purple sea anemone"
"819",43003,"Actinoscyphia sp.","Actinoscyphia sp."
"820",43004,"Paraphelliactis pabista","Paraphelliactis pabista"
"821",43005,"Actinernus sp.","Actinernus sp."
"822",43006,"Actiniaria (order)","purple striated sea anemone"
"823",43007,"Actiniaria (order)","red striated sea anemone"
"824",43009,"Corallimorphus sp.","Corallimorphus sp."
"825",43010,"Metridium sp.","Metridium sp."
"826",43020,"Metridium senile","clonal plumose anemone"
"827",43021,"Metridium farcimen","gigantic anemone"
"828",43029,"Stomphia didemon","cowardly anemone"
"829",43030,"Stomphia sp.","Stomphia sp."
"830",43032,"Stomphia coccinea","swimming anemone"
"831",43040,"Urticina sp.","Urticina sp."
"832",43041,"Urticina coriacea","leathery anemone"
"833",43042,"Urticina crassicornis","mottled anemone"
"834",43045,"Zoanthidae sp. A","hot dog zoanthid"
"835",43050,"Oceanactis diomedeae","grape anemone"
"836",43082,"Cribrinopsis fernaldi","chevron-tentacled anemone"
"837",43090,"Liponema brevicorne","tentacle-shedding anemone"
"838",43100,"Actinostolidae","Actinostolidae"
"839",43110,"Actinostola sp.","Actinostola sp."
"840",43200,"Hormathiidae","Hormathiidae"
"841",43201,"Hormathiidae (family)","pink hormathiid anemone"
"842",43225,"Zoanthus sp.","Zoanthus sp."
"843",44000,"Scleractinia (order)","stony coral unid."
"844",44005,"Flabellum sp. A (Clark 2006)","tan trumpet coral"
"845",44010,"Javania borealis","Aleutian trumpet coral"
"846",44011,"Javania cailleti","slender trumpet coral"
"847",44020,"Caryophyllia sp.","Caryophyllia sp."
"848",44023,"Caryophyllia alaskensis","Alaska cup coral"
"849",44028,"Stylasteridae","stylasterid corals"
"850",44029,"Stylasterina (order)","hydrocoral unid."
"851",44030,"Stylaster sp.","Stylaster sp."
"852",44031,"Stylaster verrilli","Stylaster verrilli"
"853",44032,"Stylaster brochi","Stylaster brochi"
"854",44033,"Stylaster cancellatus","Stylaster cancellatus"
"855",44034,"Stylaster elassotomus","Stylaster elassotomus"
"856",44035,"Stylaster polyorchis","Stylaster polyorchis"
"857",44036,"Crypthelia trophostega","Crypthelia trophostega"
"858",44037,"Stylaster campylecus","Stylaster campylecus"
"859",44038,"Crypthelia sp.","Crypthelia sp."
"860",44039,"Stylaster moseleyana","Stylaster moseleyana"
"861",44040,"Cyclohelia lamellata","Cyclohelia lamellata"
"862",44041,"Cyclohelia sp.","Cyclohelia sp."
"863",44042,"Errinopora undulata","undulate-fan hydrocoral"
"864",44045,"Stylaster alaskanus","Stylaster alaskanus"
"865",44046,"Stylaster stejnegeri","Stylaster stejnegeri"
"866",44047,"Stylaster venustus","Stylaster venustus"
"867",44050,"Stylantheca petrograpta","Stylantheca petrograpta"
"868",44052,"Stenohelia sp.","Stenohelia sp."
"869",44060,"Distichopora sp.","Distichopora sp."
"870",44061,"Distichopora borealis","Distichopora borealis"
"871",44071,"Thouarella sp. 1 (Bayer et al.)","Thouarella sp. 1 (Bayer et al.)"
"872",44072,"Thouarella sp. 2 (Bayer et al.)","Thouarella sp. 2 (Bayer et al.)"
"873",44073,"Thouarella sp. 3 (Bayer et al.)","Thouarella sp. 3 (Bayer et al.)"
"874",44074,"Thouarella sp. 4 (Bayer et al.)","Thouarella sp. 4 (Bayer et al.)"
"875",44080,"Errinopora zarhyncha","Errinopora zarhyncha"
"876",44081,"Errinopora sp.","Errinopora sp."
"877",44082,"Errinopora nanneca","Errinopora nanneca"
"878",44083,"Plumarella sp.","Plumarella sp."
"879",44085,"Isidella sp.","articulated bamboo coral"
"880",44086,"Plumarella sp. 1 (Bayer)","feathery Plumarella"
"881",44087,"Thouarella sp.","Thouarella sp."
"882",44088,"Keratoisis (genus)","nodal bamboo coral unid."
"883",44089,"Fanellia sp.","Fanellia sp."
"884",44090,"Fanellia compressa","Fanellia compressa"
"885",44091,"Fanellia fraseri","Fanellia fraseri"
"886",44092,"Muriceides nigra","Muriceides nigra"
"887",44093,"Muriceides sp.","Muriceides sp."
"888",44094,"Amphilaphis sp.","Amphilaphis sp."
"889",44095,"Plumarella sp. A","pale Plumarella"
"890",44096,"Plumarella sp. B","pinnate Plumarella"
"891",44097,"Plumarella nuttingi","loose-branched Plumarella"
"892",44098,"Arthrogorgia sp.","Arthrogorgia sp."
"893",44099,"Arthrogorgia utinomi","Arthrogorgia utinomi"
"894",44103,"Plumarella hapala","Plumarella hapala"
"895",45000,"Ctenophora (phylum)","comb jelly unid."
"896",45005,"Beroe sp.","Beroe sp."
"897",50000,"Polychaeta (class)","polychaete worm unid."
"898",50001,"Annelida (phylum)","worm unid."
"899",50010,"Polychaeta (class)","tube worm unid."
"900",50100,"Oweniidae","Oweniidae"
"901",50160,"Aphroditidae (family)","sea mouse unid."
"902",50161,"Aphrodita sp.","Aphrodita sp."
"903",50190,"Aphrodita japonica","Aphrodita japonica"
"904",50192,"Aphrodita negligens","Aphrodita negligens"
"905",52715,"Glycera sp.","Glycera sp."
"906",53700,"Nephtyidae (family)","cat worm unid."
"907",54000,"Nereididae","Nereididae"
"908",54010,"Nereis sp.","Nereis sp."
"909",54030,"Cheilonereis cyclurus","red and white banded sea nymph"
"910",56300,"Polynoidae (family)","scale worm unid."
"911",56310,"Eunoe sp.","Eunoe sp."
"912",56311,"Eunoe nodosa","giant scale worm"
"913",56312,"Eunoe depressa","depressed scale worm"
"914",57000,"Sabellidae (family)","sabellid unid."
"915",57410,"Serpula vermicularis","Serpula vermicularis"
"916",59000,"Polychaeta (class)","bristle worm unid."
"917",59100,"Clitellata (class)","leech unid."
"918",59110,"Notostomum sp.","Notostomum sp."
"919",59111,"Notostomum cyclostomum","striped sea leech"
"920",59120,"Notostomobdella sp.","Notostomobdella sp."
"921",60001,"Arthropoda (phylum)","crustacean unid."
"922",60100,"Amphipoda (order)","amphipod unid."
"923",60110,"Amphipoda (order)","gammarid amphipod unid."
"924",60130,"Melita dentata","Melita dentata"
"925",60140,"Anonyx sp.","Anonyx sp."
"926",60145,"Caprella sp.","skeleton shrimps"
"927",62000,"Isopoda (order)","isopod unid."
"928",62010,"Livoneca sp.","Livoneca sp."
"929",62020,"Saduria entomon","Saduria entomon"
"930",63000,"Cumacea (order)","cumacean unid."
"931",63500,"Euphausiacea (order)","euphausiid unid."
"932",63510,"Bathyphausia sp.","Scarlet horned shrimp"
"933",64000,"Mysida","opossum shrimps"
"934",64010,"Neognathophausia sp.","Neognathophausia sp."
"935",64011,"Neognathophausia gigas","giant red mysid"
"936",64012,"Neognathophausia ingens","red mysid"
"937",64500,"Maxillopoda (class)","copepod unid."
"938",65000,"Cirripedia","Cirripedia"
"939",65100,"Maxillopoda (class)","barnacle unid."
"940",65101,"Lepas sp.","pelagic gooseneck barnacle"
"941",65201,"Balanus sp.","Balanus sp."
"942",65202,"Balanus balanus","Balanus balanus"
"943",65203,"Chirona evermanni","giant barnacle"
"944",65204,"Balanus hesperius","crab barnacle"
"945",65205,"Balanus rostratus","beaked barnacle"
"946",65206,"Balanus nubilus","Balanus nubilus"
"947",65209,"Scalpellum sp.","Scalpellum sp."
"948",65210,"Scalpellum cornutum","eared barnacle"
"949",66000,"Malacostraca (class)","shrimp unid."
"950",66003,"Sergestidae (family)","sergestid shrimp unid."
"951",66004,"Sergestes sp.","Sergestes sp."
"952",66009,"Sicyonia ingentis","ridgeback rock shrimp"
"953",66010,"Eryonicus agassizi","Eryonicus agassizi"
"954",66019,"Pandalidae (family)","pandalid shrimp unid."
"955",66020,"Pandalus sp.","Pandalus sp."
"956",66025,"Pandalus danae","dock shrimp"
"957",66030,"Pandalus jordani","ocean shrimp"
"958",66031,"Pandalus eous","Alaskan pink shrimp"
"959",66033,"Pandalus tridens","yellowleg pandalid"
"960",66040,"Pandalus platyceros","spot shrimp"
"961",66045,"Pandalus goniurus","humpy shrimp"
"962",66050,"Pandalus hypsinotus","coonstripe shrimp"
"963",66055,"Pandalus stenolepis","roughpatch shrimp"
"964",66060,"Pandalopsis aleutica","Aleutian bigeye"
"965",66120,"Pandalopsis dispar","sidestripe shrimp"
"966",66130,"Pandalopsis ampla","stripeleg pandalid"
"967",66140,"Penaeidae (family)","penaeid shrimp unid."
"968",66150,"Hippolytidae (family)","hippolytid shrimp unid."
"969",66160,"Spirontocaris sp.","Spirontocaris sp."
"970",66163,"Spirontocaris lamellicornis","Dana blade shrimp"
"971",66165,"Spirontocaris snyderi","Spirontocaris snyderi"
"972",66170,"Eualus sp.","Eualus sp."
"973",66171,"Eualus barbatus","barbed eualid"
"974",66174,"Eualus fabricii","Arctic eualid"
"975",66175,"Eualus gaimardii","circumpolar eualid"
"976",66179,"Eualus macilentus","Greenland shrimp"
"977",66180,"Eualus macrophthalmus","bigeye eualid"
"978",66190,"Eualus biunguis","deepsea eualid"
"979",66192,"Eualus stoneyi","Eualus stoneyi"
"980",66193,"Eualus suckleyi","shortscale eualid"
"981",66200,"Lebbeus sp.","Lebbeus sp."
"982",66201,"Lebbeus grandimana","candy stripe shrimp"
"983",66203,"Lebbeus groenlandicus","spiny lebbeid"
"984",66204,"Lebbeus polaris","Lebbeus polaris"
"985",66301,"Heptacarpus sp.","Heptacarpus sp."
"986",66500,"Crangonidae (family)","crangonid shrimp unid."
"987",66502,"Crangon sp.","Crangon sp."
"988",66510,"Crangon abyssorum","abyssal crangon"
"989",66512,"Crangon alaskensis","shell shrimp"
"990",66515,"Crangon communis","twospine crangon"
"991",66520,"Crangon resima","Crangon resima"
"992",66530,"Crangon dalli","ridged crangon"
"993",66536,"Mesocrangon intermedia","northern spinyhead"
"994",66546,"Lissocrangon stylirostris","smooth crangon"
"995",66548,"Crangon septemspinosa","sevenspine bay shrimp"
"996",66570,"Argis sp.","Argis sp."
"997",66575,"Argis alaskensis","common argid"
"998",66580,"Argis dentata","Arctic argid"
"999",66600,"Sclerocrangon sp.","Sclerocrangon sp."
"1000",66601,"Sclerocrangon boreas","sculptured shrimp"
"1001",66602,"Rhynocrangon alata","saddleback shrimp"
"1002",66603,"Sclerocrangon sculptus","Sclerocrangon sculptus"
"1003",66611,"Argis lar","kuro argid"
"1004",66612,"Argis crassa","rough argid"
"1005",66613,"Argis levior","Nelson's argid"
"1006",66614,"Argis ovifer","split-eye argid"
"1007",66615,"Paracrangon echinata","horned shrimp"
"1008",66750,"Pasiphaeidae (family)","pasiphaeid shrimp unid."
"1009",66770,"Pasiphaea pacifica","Pacific glass shrimp"
"1010",66772,"Pasiphaea tarda","crimson pasiphaeid"
"1011",66814,"Notostomus sp.","Notostomus sp."
"1012",66815,"Notostomus japonicus","spinyridge shrimp"
"1013",66839,"Hymenodora sp.","Hymenodora sp."
"1014",66840,"Hymenodora frontalis","Pacific ambereye"
"1015",66860,"Acanthephyra sp.","Acanthephyra sp."
"1016",66865,"Acanthephyra curtirostris","peaked shrimp"
"1017",66875,"Systellaspis braueri","Quale's spinytail"
"1018",68000,"Decapoda (order)","crab unid."
"1019",68010,"Cancer (genus)","cancer crab unid."
"1020",68011,"Cancer branneri","furrowed rock crab"
"1021",68020,"Cancer magister","Dungeness crab"
"1022",68040,"Cancer oregonensis","Oregon rock crab"
"1023",68050,"Cancer productus","red rock crab"
